tf,action,target
PPARGC1A,1.0,CEBPA
ANXA8,1.0,FOXO4
ASH2L,1.0,GP1BA
CEBPB,1.0,SLC5A8
TNIK,1.0,AXIN2
BCL2,1.0,GLI1
GLI1,1.0,BCL2
GLI2,1.0,BCL2
MAML1,-1.0,HEY1
MYC,1.0,EIF2S1
CREBBP,1.0,PLXND1
IL12RB1,1.0,ALOX12B
WWTR1,1.0,SMAD3
WWTR1,1.0,SMAD7
NR1I2,1.0,KLF6
IL8,1.0,TCF7L2
GATA4,1.0,IL5
GATA3,1.0,IL4
GATA3,1.0,IL5
SMARCD3,1.0,ALAS1
ELOA2,1.0,BRCA1
ELOA3,1.0,BRCA1
ATF6,1.0,HSPA5
HDAC1,-1.0,BDNF
PPARG,1.0,LIPE
IL2,1.0,TERT
CLOCK,1.0,KLF15
KAT2B,1.0,NPPA
TBL1X,1.0,APOA1
TBL1X,1.0,APOA2
TBL1X,1.0,APOA5
XBP1,1.0,TLN1
MYOD1,1.0,HBEGF
RUNX1,1.0,BLK
ZNF300,1.0,MYC
FOXO4,1.0,ZFAND5
ETS2,1.0,CSF2
PPARG,-1.0,SLC9A1
TAL1,1.0,MYB
KLF4,1.0,IL6
NEUROG3,1.0,VSX2
FOXM1,1.0,CENPA
FOXM1,1.0,CENPB
FOXM1,1.0,CENPF
SNAI1,-1.0,CDH1
SNAI2,-1.0,CDH1
RUNX2,1.0,BAX
SNRPD3,1.0,MYC
KDM2A,-1.0,EREG
JUND,1.0,PENK
MYC,1.0,BMI1
IRF4,1.0,FCER2
TCF7L2,1.0,CXCL8
TNF,1.0,ANGPT1
PAX5,-1.0,MMP1
E2F1,-1.0,PDK4
REL,1.0,CSRP1
TP53,1.0,FLT1
BCL6,-1.0,HDAC7
ZBTB16,-1.0,CCNA2
MYCN,1.0,MCM7
MYCN,1.0,MCM8
MYCN,1.0,MCM2
MYCN,1.0,MCM3
MYCN,1.0,MCM4
MYCN,1.0,MCM5
MYCN,1.0,MCM6
ATF2,1.0,APOC3
NR1D1,-1.0,NPAS2
POLR2J,1.0,FANCD2
POLR2K,1.0,FANCD2
POLR2L,1.0,FANCD2
POLR2F,1.0,FANCD2
POLR2G,1.0,FANCD2
POLR2H,1.0,FANCD2
POLR2I,1.0,FANCD2
POLR2B,1.0,FANCD2
POLR2C,1.0,FANCD2
POLR2D,1.0,FANCD2
POLR2E,1.0,FANCD2
POLR2A,1.0,FANCD2
NFKB1,-1.0,GKN2
BRCA1,1.0,SIRT1
MUC1,1.0,STAT5B
CARM1,1.0,SLC27A1
YBX1,-1.0,CDC20
HIF1A,1.0,ALDOA
ALDOA,1.0,HIF1A
MUC1,1.0,STAT5A
SATB1,-1.0,IL5
ESR1,1.0,CTSD
PIAS3,1.0,ATF1
EGR1,-1.0,IL6
EGR2,-1.0,IL2
EGR3,-1.0,IL2
E2F1,1.0,PPP1R13B
PPP1R13B,1.0,E2F1
PPP1R13B,1.0,E2F2
PPP1R13B,1.0,E2F3
GATA1,1.0,CDA
TBL1XR1,1.0,FDFT1
GATA1,1.0,CA1
ZNF267,-1.0,MMP10
EZH2,-1.0,DACT3
MYC,-1.0,MXD4
TCF12,1.0,MYB
HNRNPA1,-1.0,KLK3
ATF2,1.0,POLB
SMAD3,1.0,PTPN2
MXI1,-1.0,MYC
BRCA1,1.0,MDM2
HNF4A,1.0,TTR
REST,-1.0,TAC1
ZNF148,-1.0,VIM
RELA,1.0,SNAI1
NFKB1,-1.0,PDK4
SMAD3,1.0,PTPN7
SMAD3,1.0,PTPN9
SMAD3,1.0,PTPN4
SMAD3,1.0,PTPN5
SMAD3,1.0,PTPN6
TP63,1.0,ATM
ZFHX3,-1.0,MYF6
LMO3,-1.0,HES1
DLX3,-1.0,GLI2
DLX5,-1.0,GLI2
APP,-1.0,CTNNB1
TP63,1.0,AXL
NFKB1,1.0,MUC2
CCND1,-1.0,HBP1
HBP1,-1.0,CCND1
NOTCH3,-1.0,APOD
CCND3,-1.0,HBP1
SPP1,1.0,GLI1
ARHGAP26,1.0,CTNNB1
EGR1,-1.0,FAS
FAS,-1.0,EGR1
CCNE1,-1.0,HBP1
XBP1,1.0,GSK3A
CREBBP,1.0,VEGFA
PPARG,1.0,POU2F1
HERC5,1.0,MYC
SOX2,1.0,PGA5
TP53,1.0,OGG1
TP63,1.0,ADA
IL18RAP,1.0,NOS2
JUN,1.0,KLK3
TP73,1.0,ADA
TP73,1.0,AEN
TP63,1.0,OGG1
MECP2,-1.0,DLL1
IL10,1.0,TIMP1
RANBP9,1.0,KLK3
TP53,1.0,HIPK2
XBP1,1.0,SYVN1
EP300,1.0,DNMT1
DNMT1,1.0,EP300
SREBF2,1.0,SQLE
SQLE,1.0,SREBF2
SREBF1,1.0,SQLE
SQLE,1.0,SREBF1
TCF3,1.0,MYB
TCF4,1.0,MYC
RUNX1,1.0,CR1
MYB,-1.0,MYF6
CBFB,1.0,OCLN
EWSR1,1.0,TERT
PPARA,1.0,CPT2
VAV3,-1.0,GLI2
E2F1,1.0,MT1G
MT1G,1.0,E2F1
HIF1A,1.0,ALAS2
SP1,1.0,KIF2C
KIF2C,1.0,SP1
NFKBIB,-1.0,IFNB1
NFKBIA,-1.0,IFNB1
CTDP1,1.0,ATR
CTDP1,1.0,ATM
DIABLO,1.0,E2F1
TCEA1,1.0,FANCI
KLF4,-1.0,RARA
ZBTB7A,-1.0,SLC2A3
CDKN2A,-1.0,AURKB
GATA3,1.0,ERG
AR,1.0,VEGFA
POLR2I,1.0,BRCA1
POLR2J,1.0,BRCA1
POLR2K,1.0,BRCA1
POLR2L,1.0,BRCA1
NCOA3,1.0,NRIP1
POLR2A,1.0,BRCA1
POLR2B,1.0,BRCA1
POLR2C,1.0,BRCA1
POLR2D,1.0,BRCA1
POLR2E,1.0,BRCA1
POLR2F,1.0,BRCA1
POLR2G,1.0,BRCA1
POLR2H,1.0,BRCA1
MDC1,1.0,BRCA1
BRCA1,1.0,MDC1
TFDP1,1.0,CCND3
TCF7L1,1.0,MYC
TCF7L2,1.0,MYC
MYC,1.0,TCF7L2
NFIL3,-1.0,PER2
TFDP1,1.0,CCNE1
TFDP2,1.0,CCNE1
TFDP2,1.0,CCNE2
RXRA,1.0,CPT1A
RXRA,1.0,CPT1B
SCD,1.0,HNF1A
TP53,1.0,BAX
TP63,1.0,BAX
VIM,-1.0,TCF7L2
XBP1,1.0,PDIA5
XBP1,1.0,PDIA6
TP73,1.0,BAX
STAT3,1.0,CISH
TFDP1,1.0,CCNA1
TFDP2,1.0,CCNA1
STAT3,1.0,LCN2
ETS1,1.0,TGFBR2
TIMP3,-1.0,FOXO1
CREBBP,1.0,ADIPOQ
HOXB7,-1.0,CDKN1B
E2F4,-1.0,PCNA
E2F5,-1.0,PCNA
TP53,1.0,BID
NFYA,1.0,HOXB4
DDIT3,1.0,TRIB3
DAPK2,-1.0,CTNNB1
SP1,1.0,CYP27A1
SP3,1.0,CYP27A1
HIST2H2AC,1.0,KDM4B
GLS2,1.0,HNF1A
FOXO3,1.0,TXNIP
TP53,1.0,LIF
ZBTB17,-1.0,ITGB1
ZBTB17,-1.0,ITGB4
ZBTB17,-1.0,ITGA6
CHD9,1.0,AGT
ESR1,1.0,CXCL12
HLA-DRA,1.0,IFNG
CALCOCO1,1.0,TFF1
SPP1,1.0,SMAD1
RARA,1.0,RARB
NR2F1,-1.0,MTTP
CLOCK,1.0,NOCT
TNIK,1.0,MYC
YY1,-1.0,CREBBP
ERCC2,1.0,CHEK1
ERCC3,1.0,CHEK1
ARNTL,1.0,SERPINE1
FOS,1.0,CBFB
ZNF24,1.0,CCND1
EBI3,-1.0,IL2
ZIC1,1.0,FAM57A
ARNT,1.0,EGLN1
ARNT,1.0,EGLN3
RAG2,1.0,RAG1
RAG1,1.0,RAG2
CCNT1,1.0,RAD51D
CCNT2,1.0,RAD51D
MDM2,1.0,DNMT3A
TGFB1,-1.0,PPARG
HIST2H2BE,1.0,KDM4B
JUN,1.0,KRT16
JUN,1.0,KRT17
SP1,1.0,THBD
PROX1,-1.0,TWIST1
SMAD2,1.0,JUNB
SMAD3,1.0,JUNB
SMAD4,1.0,JUNB
IFNG,-1.0,TERT
PRKCB,1.0,SELE
PRKCD,1.0,SELE
PRKCE,1.0,SELE
PRKCA,1.0,SELE
ITGA1,1.0,CTNNB1
PRKCG,1.0,SELE
PRKCH,1.0,SELE
PRKCQ,1.0,SELE
MCM8,1.0,NFYA
RUNX1,1.0,NR4A3
LIN52,-1.0,E2F1
LIN54,-1.0,E2F1
NCOA1,1.0,CPT1A
NCOA2,1.0,CPT1A
NCOA6,1.0,CPT1A
TP53,1.0,FANCC
LIN37,-1.0,E2F1
POLD1,1.0,E2F4
POLD1,1.0,E2F1
ELOA,1.0,MDC1
ELOB,1.0,MDC1
ELOC,1.0,MDC1
POLE3,1.0,E2F1
POLE3,1.0,E2F2
POLE3,1.0,E2F3
POLE3,1.0,E2F4
POLE2,1.0,E2F1
YY1,-1.0,E2F1
AGO1,-1.0,GREB1
AGO2,-1.0,GREB1
AGO3,-1.0,GREB1
NFKB1,-1.0,YY1
AGO4,-1.0,GREB1
STAT3,1.0,CCND1
CCND1,1.0,STAT3
STAT3,1.0,CCND3
ELF1,1.0,IL2RA
MYB,1.0,TOM1
E2F3,1.0,POLA1
E2F1,1.0,POLA1
POLA1,1.0,E2F1
CBFB,1.0,AXIN1
GATA1,1.0,PF4
PDX1,1.0,HNF1A
HNF1A,1.0,PDX1
TWIST1,-1.0,HES1
SNW1,1.0,SMAD7
SMAD3,1.0,BCL2L11
SMAD4,1.0,BCL2L11
CHD9,1.0,GLIPR1
GTF3A,1.0,COL1A1
JUN,-1.0,VEGFA
PPARGC1B,1.0,ATP5F1B
RUVBL1,1.0,HSPD1
SPI1,1.0,PRG2
TYK2,1.0,CD4
RUVBL2,1.0,HSPD1
ASCL1,-1.0,PCSK6
PHB2,-1.0,C3
ZBTB17,1.0,CCL5
CHD9,1.0,FABP1
CIITA,1.0,HLA-C
CIITA,1.0,HLA-A
CIITA,1.0,HLA-B
HIST2H2AC,1.0,MYC
FOS,1.0,CCN1
JDP2,-1.0,ATF3
WWP1,-1.0,TGFBR1
NCOA1,1.0,CDKN1A
IFI16,-1.0,ICAM1
RUNX1,1.0,MYB
CD3D,1.0,FOS
CD3E,1.0,FOS
CD3G,1.0,FOS
HEY1,-1.0,ACTA2
HEY2,-1.0,ACTA2
HIST2H2BE,1.0,MYC
MAX,1.0,TP53
ATF2,1.0,HBG2
MAX,-1.0,MXD4
HIST1H2BA,1.0,KLK2
HIST1H2BB,1.0,KLK2
HIST1H2BA,1.0,KLK3
HIST1H2BB,1.0,KLK3
HIST1H2BD,1.0,KLK2
HIST1H2BD,1.0,KLK3
HIST1H2BG,1.0,KLK2
NF1,1.0,TP53
HIST1H2AJ,1.0,KLK2
HIST1H2AJ,1.0,KLK3
TGS1,1.0,ANGPTL4
HIST1H2BO,1.0,KLK3
HIST1H2BH,1.0,KLK2
HIST1H2BG,1.0,KLK3
HIST1H2BH,1.0,KLK3
HIST1H2BJ,1.0,KLK2
HIST1H2BJ,1.0,KLK3
HIST1H2BK,1.0,KLK2
HIST1H2BL,1.0,KLK2
HIST1H2BK,1.0,KLK3
HIST1H2BM,1.0,KLK2
HIST1H2BL,1.0,KLK3
HIST1H2BN,1.0,KLK2
HIST1H2BM,1.0,KLK3
HIST1H2BN,1.0,KLK3
HIST1H2BO,1.0,KLK2
CDX2,1.0,AXIN2
HIST1H2AB,1.0,KLK2
HIST1H2AC,1.0,KLK2
HIST1H2AB,1.0,KLK3
HIST1H2AD,1.0,KLK2
HIST1H2AC,1.0,KLK3
HIST1H2AD,1.0,KLK3
ID4,-1.0,BRCA1
ETS1,1.0,TFAP2A
TFAP2A,1.0,ETS1
CLDN4,1.0,STAT2
CBFB,1.0,IHH
SNAI1,-1.0,PEBP1
CHD9,1.0,G0S2
HDAC1,-1.0,SPP1
CBFB,1.0,IL3
MED1,1.0,CEBPA
MED6,1.0,CEBPA
MED7,1.0,CEBPA
MED8,1.0,CEBPA
MED9,1.0,CEBPA
MED4,1.0,CEBPA
SP1,1.0,KISS1
KAT5,1.0,GPAM
MYC,-1.0,MST1
CTDP1,1.0,FANCI
SMARCD3,1.0,ACOX1
ZEB1,-1.0,CDH1
ZEB2,-1.0,CDH1
TLX1,1.0,NR4A3
FOS,1.0,CDK1
HAND2,1.0,PHOX2A
MYC,1.0,TP53
CREB1,1.0,IGHA1
DBP,1.0,ALDOB
TFDP1,1.0,DHFR
CDK12,1.0,BRCA1
MYC,1.0,TP73
SPI1,1.0,IFIT3
APAF1,-1.0,E2F6
E2F6,-1.0,APAF1
E2F7,-1.0,APAF1
E2F8,-1.0,APAF1
CEBPD,1.0,IL23A
SUPT3H,1.0,TERT
IRF1,-1.0,BCL2
IRF4,-1.0,BCL6
BCL6,-1.0,IRF4
AHR,1.0,CYP1B1
MLX,1.0,ACACA
MLX,1.0,ACACB
AHR,1.0,CYP1A1
SREBF1,1.0,SC5D
SREBF2,1.0,SC5D
TFAP2A,1.0,NME3
HP,1.0,CEBPA
HP,1.0,CEBPB
STAT6,1.0,CCL26
EGR1,1.0,E2F1
TFAP2A,1.0,ESR1
TFAP2C,1.0,ESR1
CEBPA,1.0,F9
AES,1.0,LEF1
MED1,1.0,NPAS2
IRF1,1.0,EIF2AK2
CXCL12,-1.0,CTNNB1
HIF1A,1.0,CTGF
NPAS2,1.0,F7
IRF1,1.0,HLA-A
NFKB1,1.0,EGFR
CDX2,1.0,GCG
SREBF1,1.0,SCD5
IL27,1.0,IFNG
CREBBP,1.0,EDN1
IL18,1.0,IFNG
SREBF2,-1.0,HNF4A
NCOR1,-1.0,IGFBP3
DUSP4,-1.0,FOXO1
RELA,1.0,IFNG
CHD9,1.0,FADS1
H2AFB1,1.0,KDM4B
PARP1,-1.0,FOXO1
SNAI1,-1.0,CLDN3
STAT6,1.0,CCL17
STAT3,1.0,CCL11
NCOR2,-1.0,ABCA1
NCOR1,-1.0,ABCA1
DIO2,1.0,CTNNB1
HIF1A,-1.0,CTNNB1
BRCA1,1.0,E2F1
E2F4,-1.0,TTK
GATA1,1.0,DICER1
SIRT1,-1.0,EGLN1
PROX1,-1.0,CYP7A1
CCNK,1.0,ATM
CCNH,1.0,ATR
CCNK,1.0,ATR
CCNH,1.0,ATM
HNF1A,1.0,SLC22A9
RB1,1.0,BRD2
AR,1.0,EGFR
PAX8,-1.0,TG
TP53,1.0,HGF
E2F1,1.0,MYCN
MYCN,1.0,E2F1
MYCN,1.0,E2F2
MYCN,1.0,E2F3
E2F6,-1.0,TK1
NEUROG3,1.0,NKX2-2
FOXA1,1.0,SCGB1A1
SCGB1A1,1.0,FOXA2
TP53,1.0,GML
GML,1.0,TP53
SPG20,1.0,GLI2
CITED2,-1.0,MMP13
EGR1,1.0,PTP4A1
PTP4A1,1.0,EGR1
JUN,1.0,KRT5
CBFB,1.0,BLK
THRAP3,1.0,FABP4
NFKB1,1.0,EBI3
BNIP3L,1.0,FOXO3
FOS,1.0,KRT17
HMOX1,1.0,SREBF1
RUNX1,1.0,JUN
DNMT1,-1.0,CASP8
RUVBL1,1.0,PTMA
RUVBL2,1.0,PTMA
JUN,1.0,VCAM1
TRAC,1.0,FOS
CDK7,1.0,ATM
CDK9,1.0,ATM
CDK7,1.0,ATR
CDK9,1.0,ATR
SIRT1,-1.0,PAX6
RELA,-1.0,BHMT
SUPT7L,1.0,TERT
CDK4,1.0,FABP4
CEBPD,1.0,POU5F1
CDK8,1.0,FABP4
ATF2,1.0,DUSP10
LGALS3,1.0,CTNNB1
CDX2,1.0,APC
NRF1,1.0,CYCS
AR,1.0,CTNNB1
NR4A2,-1.0,MMP1
LEF1,1.0,FGF4
PPARG,-1.0,CFLAR
TFAP2A,-1.0,HGF
HIST3H2BB,1.0,BCL2
PPARGC1A,1.0,NRF1
RNF187,1.0,CCND1
RUNX2,1.0,IHH
TP53,-1.0,IGF1R
EGR1,1.0,SLC4A2
CHD9,1.0,ANKRD1
PATZ1,-1.0,KLK3
RUNX1,1.0,IL2
SF1,1.0,SULT2A1
TP53,1.0,HTT
CBFB,1.0,CR1
E2F6,-1.0,UXT
UXT,-1.0,E2F6
SP2,-1.0,MMP9
NFKB1,-1.0,EPCAM
AR,1.0,NAT1
STAT4,-1.0,RPLP0
SP1,1.0,KLK3
SP3,1.0,KLK3
WT1,-1.0,CDC73
MYC,1.0,KRAS
SP3,1.0,TFF1
SRC,1.0,KLK2
NANOG,-1.0,CDX2
IL20RA,1.0,STAT2
HELZ2,1.0,PCK1
ATM,1.0,GADD45A
NR3C1,-1.0,MMP1
HDAC3,-1.0,GATA2
GATA4,-1.0,HDAC9
HTATIP2,-1.0,SPP1
ITGA6,-1.0,GLI2
SOX2,-1.0,ISL1
CARM1,1.0,APOA1
CARM1,1.0,APOA2
CARM1,1.0,APOA5
EP300,1.0,PLIN1
E2F1,1.0,RASGEF1B
CNOT8,1.0,FOXO1
NFYA,1.0,DHCR7
NFYB,1.0,DHCR7
NFYC,1.0,DHCR7
HIPK2,-1.0,HIF1A
HIC1,-1.0,ACKR3
SP1,1.0,TERT
TERT,1.0,SP1
LPAR1,1.0,MMP2
NFKB1,1.0,BRCA2
SP1,1.0,BRD7
FOS,1.0,TCF7L2
STAT3,1.0,FOXO1
STAT3,1.0,FOXO3
IL1R1,1.0,CTNNB1
KLF8,1.0,MMP14
ATF2,1.0,IFNB1
MYB,1.0,KITLG
SMARCD3,1.0,ACSL1
AKR1C4,1.0,HNF1A
TCF4,1.0,VIM
AKR1C4,1.0,HNF4G
AKR1C4,1.0,HNF4A
SP3,-1.0,E2F1
SP1,-1.0,E2F7
THRA,-1.0,SERPINC1
GATA1,1.0,MPL
HDAC4,-1.0,RUNX2
RING1,-1.0,CDC7
CREBBP,1.0,CYP1A1
MAMLD1,1.0,ACTA2
RARA,1.0,CRABP1
CRABP2,1.0,RARA
EGR1,1.0,HYAL1
LEF1,1.0,OCA2
ING2,-1.0,BCL2
ING4,-1.0,BCL2
PRDM1,-1.0,LMO2
T,1.0,CTNNB1
PPP2R4,-1.0,MYC
ECT2,1.0,E2F1
DBP,1.0,CYP3A4
SMTN,-1.0,NOTCH1
EZH2,1.0,CCNE1
EZH2,1.0,CCND1
USF2,1.0,ATP5F1A
RXRA,1.0,TIAM2
TBP,1.0,TFF1
NANOG,-1.0,CDK6
EP300,1.0,BCL2
GATA3,1.0,MYB
MYB,1.0,GATA3
MYC,1.0,GATA4
ADH1B,1.0,CEBPA
ADH1A,1.0,CEBPB
ADH1B,1.0,CEBPB
ADH1C,1.0,CEBPB
ESRRG,1.0,NR0B1
AR,-1.0,AKR1C3
SIRT1,-1.0,XPC
KLF4,-1.0,IFITM3
ITGAX,1.0,CEBPA
CEBPA,1.0,ITGAX
TLX1,1.0,MYC
VDR,-1.0,DKK4
GLI1,1.0,PDGFRA
GLI2,1.0,PDGFRA
MCM7,1.0,E2F4
MCM5,1.0,E2F2
MCM6,1.0,E2F1
MCM7,1.0,E2F1
MCM5,1.0,E2F3
MCM6,1.0,E2F2
MCM7,1.0,E2F2
MCM8,1.0,E2F1
MCM5,1.0,E2F4
MCM6,1.0,E2F3
MCM7,1.0,E2F3
E2F1,1.0,MCM3
E2F2,1.0,MCM3
E2F3,1.0,MCM3
MCM5,1.0,E2F1
FOXM1,1.0,NEK2
FOXA2,1.0,CEBPA
IRF9,1.0,CDKN1A
IRF9,1.0,CDKN1B
IRF1,1.0,CDKN1B
CARM1,1.0,ANGPTL4
REL,1.0,SOD2
CDX2,1.0,UGT1A10
FHL2,1.0,KLK3
SPP1,1.0,NR4A2
PTPN11,1.0,CCND3
PML,1.0,CASP3
MTA2,-1.0,FSHR
MAFG,1.0,MMP1
CREB1,1.0,MUC5AC
SOX9,1.0,NR5A1
RXRG,1.0,SREBF1
SREBF1,1.0,RXRA
RXRA,1.0,SREBF1
RXRB,1.0,SREBF1
HOXB7,1.0,VEGFA
WT1,-1.0,AR
EBP,1.0,HNF4A
PPARG,1.0,VLDLR
POU5F1,1.0,SALL1
POU5F1,1.0,SALL4
TP53,1.0,PYCARD
PRDM1,-1.0,GCSAM
LEF1,-1.0,CDKN2A
SIRT1,-1.0,WRN
HRAS,-1.0,TP53
SRF,1.0,SMN1
HELZ2,1.0,ANKRD1
USF1,1.0,SERBP1
MAPK14,1.0,RAB7A
SPIB,-1.0,IRF7
TBX21,1.0,CXCR3
LEF1,1.0,CTNNB1
CTNNB1,1.0,LEF1
JUN,1.0,LGALS3
POU4F1,-1.0,BAX
SP1,1.0,SOD1
RUNX3,1.0,FADD
TBX21,-1.0,IL13
ATM,-1.0,SLC2A1
MECP2,1.0,PTPN4
TP53,1.0,PLAGL1
F3,1.0,NFKB1
RB1,-1.0,E2F1
RB1,-1.0,E2F2
RB1,-1.0,E2F3
E2F1,1.0,AR
STAM,1.0,MYC
REST,-1.0,BDNF
FOSL1,1.0,CTNNB1
EZH2,-1.0,SSTR1
MYCN,-1.0,CLU
RXRG,1.0,NRIP1
BRCA1,-1.0,HSPA5
RXRA,1.0,NRIP1
RXRB,1.0,NRIP1
HELZ2,1.0,G0S2
NFKB1,1.0,TF
NR2F2,-1.0,PPARG
TP63,1.0,TOP2A
SP1,1.0,SOX9
ATM,-1.0,VEGFA
SRY,1.0,SOX9
RUNX1,-1.0,SOCS4
AR,-1.0,UCN
RUNX1,-1.0,SOCS3
YBX1,1.0,PTPN1
OPRM1,1.0,YY1
JUND,1.0,GAST
ETS1,1.0,CHUK
CHUK,1.0,ETS1
MYB,-1.0,ICAM1
E2F5,-1.0,MYC
TCEA1,1.0,ATM
ESR1,-1.0,NQO1
TCEA1,1.0,ATR
STAT5A,-1.0,BRWD1
STAT5B,-1.0,BRWD1
BCL2,1.0,MYC
BCL6,1.0,MYC
MTOR,1.0,PPARGC1A
LBX1,1.0,CTNNB1
TGS1,1.0,FHL2
KDM3A,1.0,KLK3
TWIST1,1.0,NR2F1
TWIST2,1.0,NR2F1
MEN1,-1.0,GAST
KDM1A,1.0,KLK3
CDK19,-1.0,LEP
FADD,-1.0,CTNNB1
KDM4C,1.0,KLK2
KDM4C,1.0,KLK3
ERG,-1.0,EPB41L3
E2F1,1.0,MEFV
TYK2,1.0,NOS2
JUN,1.0,BEX2
PPARG,1.0,CDX1
CDX1,1.0,PPARG
RELA,1.0,NAMPT
HIF1A,1.0,NDRG1
CDC45,1.0,E2F1
E2F1,1.0,CDC45
NRF1,1.0,ALAS1
CREBBP,1.0,IL2RA
TAF9,1.0,CAD
SPDEF,-1.0,PLAUR
HELZ2,1.0,SLC27A1
PPRC1,1.0,TFAM
MTSS1,1.0,FOXA2
HMGA2,1.0,COL11A2
TOP2B,1.0,RUNX1
RBBP5,1.0,GP1BA
FOXM1,-1.0,CDKN2A
NFKB1,1.0,HYAL1
PAX6,1.0,SIX3
TP53,-1.0,CHEK1
CHEK1,-1.0,TP53
TP53,-1.0,CHEK2
NR1H2,1.0,ABCA1
ABCA1,1.0,NR1H2
NR1H3,1.0,ABCA1
ABCA1,1.0,NR1H3
FLI1,1.0,TERT
NR1H4,1.0,ABCB4
FOXG1,-1.0,CDKN1A
CHD9,1.0,SLC27A1
